date,cota_Mom,cota_beta,cota_valor
05/08/2008,0.783905523,0.887610297,0.929518599
06/08/2008,0.799739106,0.902890701,0.943570878
07/08/2008,0.777779675,0.883871444,0.929285474
08/08/2008,0.793848447,0.884016946,0.943341888
11/08/2008,0.792814542,0.87459715,0.923848387
12/08/2008,0.789408465,0.875503123,0.920339782
13/08/2008,0.772197078,0.877194293,0.907599455
14/08/2008,0.773564959,0.873869437,0.924699223
15/08/2008,0.762989508,0.872584783,0.920652275
18/08/2008,0.755337544,0.864437696,0.908920285
19/08/2008,0.743029654,0.871080197,0.90172143
20/08/2008,0.748675237,0.887353489,0.912187556
21/08/2008,0.751826798,0.889861714,0.90244279
22/08/2008,0.741101121,0.892018793,0.912602542
25/08/2008,0.734434439,0.891088862,0.899243213
26/08/2008,0.723592499,0.88841263,0.89944447
27/08/2008,0.72708329,0.879112934,0.901317342
28/08/2008,0.736105631,0.88399549,0.916528608
29/08/2008,0.732919684,0.879031439,0.926401262
01/09/2008,0.73597437,0.881209354,0.927291499
02/09/2008,0.72873354,0.874442287,0.930007757
03/09/2008,0.715317978,0.867604167,0.914350335
04/09/2008,0.682761939,0.846319123,0.883307308
05/09/2008,0.679196741,0.848110599,0.894461747
08/09/2008,0.6687305,0.857090825,0.891812152
09/09/2008,0.639220931,0.843548214,0.866154495
10/09/2008,0.6512073,0.840035685,0.865700902
11/09/2008,0.66725924,0.840379502,0.877186094
12/09/2008,0.677331573,0.838086734,0.89964997
15/09/2008,0.647932587,0.820529404,0.873242572
16/09/2008,0.647148823,0.826306167,0.870721705
17/09/2008,0.594401221,0.792467369,0.819587055
18/09/2008,0.607901507,0.797914222,0.833386412
19/09/2008,0.658304949,0.8268338,0.901492239
22/09/2008,0.629337719,0.816338088,0.878965396
23/09/2008,0.610378377,0.810765991,0.867398304
24/09/2008,0.598142318,0.808406579,0.870478719
25/09/2008,0.614712038,0.815538099,0.893414348
26/09/2008,0.61503533,0.804187736,0.890125378
29/09/2008,0.565686359,0.771449929,0.829168415
30/09/2008,0.58340508,0.777788987,0.8554298
01/10/2008,0.606644627,0.77630663,0.880480414
02/10/2008,0.563634179,0.768029555,0.854194976
03/10/2008,0.545081469,0.75557655,0.842641569
06/10/2008,0.52879993,0.738083719,0.799086873
07/10/2008,0.474334663,0.708580619,0.769049753
08/10/2008,0.437277732,0.677916573,0.748062087
09/10/2008,0.421321279,0.66775612,0.726639844
10/10/2008,0.391884302,0.631294065,0.69496869
13/10/2008,0.450857728,0.66212471,0.75189539
14/10/2008,0.471999553,0.673032576,0.755986821
15/10/2008,0.414338644,0.653634375,0.694971421
16/10/2008,0.419967684,0.65010255,0.735303095
17/10/2008,0.411053689,0.638609665,0.722939521
20/10/2008,0.457610341,0.667632079,0.751739686
21/10/2008,0.462191996,0.661244851,0.736223233
22/10/2008,0.406097129,0.627288111,0.638140267
23/10/2008,0.393905953,0.609987939,0.605097002
24/10/2008,0.352682306,0.578215153,0.601897765
27/10/2008,0.339110033,0.570263677,0.557134352
28/10/2008,0.392979653,0.594756033,0.639358808
29/10/2008,0.413603341,0.607274281,0.651621453
30/10/2008,0.423489154,0.630934468,0.726427501
31/10/2008,0.396788971,0.634696814,0.722058304
03/11/2008,0.406621229,0.640164041,0.737513692
04/11/2008,0.431612781,0.662580521,0.765415695
05/11/2008,0.399327379,0.652763052,0.722479699
06/11/2008,0.38583604,0.648316344,0.70743145
07/11/2008,0.378334131,0.660596481,0.695985362
10/11/2008,0.354689408,0.664047841,0.672212154
11/11/2008,0.353344228,0.659860008,0.684881153
12/11/2008,0.328895916,0.643670564,0.647038727
13/11/2008,0.338862377,0.64277181,0.669534677
14/11/2008,0.338654472,0.643249409,0.681861133
17/11/2008,0.336029286,0.646229699,0.693412541
18/11/2008,0.324716541,0.64194302,0.656011285
19/11/2008,0.324273351,0.647166632,0.639265583
20/11/2008,0.324116955,0.646854506,0.638957268
21/11/2008,0.293780933,0.638950418,0.625311163
24/11/2008,0.310792355,0.650268807,0.648126082
25/11/2008,0.313165948,0.633094775,0.661973901
26/11/2008,0.33075876,0.649079893,0.670239074
27/11/2008,0.334358726,0.646881311,0.669784805
28/11/2008,0.33944301,0.653088062,0.673436972
01/12/2008,0.335030985,0.643513308,0.648359892
02/12/2008,0.336610878,0.647953127,0.6642918
03/12/2008,0.32549061,0.651628405,0.667789818
04/12/2008,0.326947832,0.658465411,0.672688393
05/12/2008,0.337158999,0.662246205,0.671775353
08/12/2008,0.360323678,0.679819797,0.710827088
09/12/2008,0.349840888,0.67577006,0.702506156
10/12/2008,0.361710713,0.671428786,0.718753341
11/12/2008,0.370013175,0.668871443,0.711635807
12/12/2008,0.382629663,0.672363095,0.72646959
15/12/2008,0.357918148,0.659452001,0.7085601
16/12/2008,0.376618467,0.663949222,0.733539864
17/12/2008,0.368501257,0.660519388,0.724966816
18/12/2008,0.372886091,0.661001134,0.737305562
19/12/2008,0.372698933,0.657753497,0.745580837
22/12/2008,0.368559453,0.656531308,0.74203501
23/12/2008,0.354741339,0.646988421,0.726834454
24/12/2008,0.354563405,0.6466639,0.726469883
25/12/2008,0.354385561,0.646339542,0.726105495
26/12/2008,0.355226184,0.650083898,0.717330026
29/12/2008,0.357141486,0.645870883,0.717149765
30/12/2008,0.371793777,0.653635822,0.73603179
31/12/2008,0.37160547,0.653304767,0.735659002
01/01/2009,0.371417258,0.65297388,0.735286404
02/01/2009,0.384942007,0.664575874,0.761616128
05/01/2009,0.396756857,0.654433957,0.781181639
06/01/2009,0.407812143,0.643207065,0.797220495
07/01/2009,0.402572927,0.652151262,0.806275079
08/01/2009,0.41042947,0.661804427,0.828482357
09/01/2009,0.408479262,0.66231966,0.808813797
12/01/2009,0.386310024,0.653526898,0.758944822
13/01/2009,0.383554037,0.65934634,0.764341276
14/01/2009,0.361975958,0.64894741,0.735146346
15/01/2009,0.377826617,0.650666369,0.753850038
16/01/2009,0.380251531,0.647374152,0.743895185
19/01/2009,0.378418145,0.635284207,0.723561299
20/01/2009,0.365793246,0.634516308,0.709420027
21/01/2009,0.375105203,0.642533263,0.723968601
22/01/2009,0.363717502,0.642265869,0.711470669
23/01/2009,0.368284774,0.64725131,0.710454881
26/01/2009,0.363240742,0.643786926,0.71535694
27/01/2009,0.376884578,0.641653523,0.711602755
28/01/2009,0.398087282,0.643840084,0.71916522
29/01/2009,0.394692431,0.644852421,0.71446775
30/01/2009,0.392726537,0.64911426,0.719273173
02/02/2009,0.392200571,0.642362062,0.713757459
03/02/2009,0.402746466,0.642399094,0.718142617
04/02/2009,0.393941128,0.643442952,0.713218603
05/02/2009,0.409764771,0.647701893,0.720973825
06/02/2009,0.424770303,0.660098923,0.742525502
09/02/2009,0.42065223,0.65473368,0.747306965
10/02/2009,0.408990296,0.654371736,0.72808273
11/02/2009,0.40600918,0.654327574,0.719532375
12/02/2009,0.406770022,0.661187412,0.713142397
13/02/2009,0.415610577,0.670562582,0.721957121
16/02/2009,0.44410598,0.669666594,0.728060805
17/02/2009,0.407999451,0.66534612,0.700785108
18/02/2009,0.40792095,0.668733216,0.701849293
19/02/2009,0.405534258,0.667391677,0.696821671
20/02/2009,0.403237562,0.666137791,0.676841818
23/02/2009,0.402999997,0.665748855,0.676522528
24/02/2009,0.402803594,0.665401062,0.676203389
25/02/2009,0.401577561,0.66200926,0.664514951
26/02/2009,0.392620936,0.657599951,0.656431609
27/02/2009,0.386291316,0.660831447,0.644948547
02/03/2009,0.366896394,0.644505384,0.605617059
03/03/2009,0.367312969,0.646054259,0.596942345
04/03/2009,0.375866628,0.649291664,0.603134116
05/03/2009,0.366816154,0.642093935,0.587224545
06/03/2009,0.371855785,0.642440919,0.583217919
09/03/2009,0.367889114,0.639728636,0.57574255
10/03/2009,0.373302407,0.651582281,0.59011847
11/03/2009,0.37595045,0.650470077,0.599561873
12/03/2009,0.378736679,0.651083111,0.600012169
13/03/2009,0.379419655,0.650547623,0.598756598
16/03/2009,0.383852525,0.642771946,0.597787586
